"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp771_c0_seq1"	170237,537384137	-0,603489314339985	0,1681763362382	-3,58843180817794	0,000332672979276446	0,000512114768098287
"comp25551_c0_seq1"	638,364932613366	-13,7037008201268	3,83917725336766	-3,5694368651789	0,000357749418737435	0,000547399713007882
"comp3272_c0_seq1"	24444,7048491063	-0,618192724665289	0,174337071934652	-3,54596252997189	0,000391181825530262	0,000594971159788543
"comp4476_c0_seq1"	27777,0699655589	-0,901191312245698	0,258380251585333	-3,48784903922144	0,000486922915120395	0,000736181074051073
"comp4283_c0_seq1"	20450,2046716505	-0,399039786060134	0,114731391035592	-3,478034934104	0,00050510409167199	0,000759150528311749
"comp1129_c1_seq1"	3809,3537052276	-1,74303907821165	0,52379323041274	-3,32772356916137	0,000875587012661043	0,00130823000715238
"comp38530_c0_seq1"	5883,41400766245	1,60717148498255	0,504116860092643	3,18809310342685	0,00143214415462409	0,00212727845189777
"comp611_c0_seq1"	11461,019031752	-0,999800845985948	0,314747135815084	-3,17652087094237	0,00149053064010612	0,0022011324569009
"comp4977_c0_seq1"	31936,34854358	-0,874690314040591	0,278053674997917	-3,14576066670272	0,00165655503348509	0,00243216750581048
"comp239_c0_seq1"	122561,254603921	-0,566768371343516	0,182822418721035	-3,10010323300851	0,00193453204723301	0,00282397206894934
"comp45520_c0_seq1"	5795,39185573396	1,26049758081158	0,407099324005227	3,09629003656954	0,0019595858529246	0,00284419889510199
"comp9523_c0_seq3"	8811,0869429191	4,02608759401947	1,34548183074824	2,99230171824804	0,00276882465510066	0,00399591739997481
"comp7717_c0_seq1"	9337,08428000449	0,850943627994796	0,287057101818154	2,96437058203791	0,00303302790429092	0,00435248072141183
"comp8507_c0_seq4"	75133,2622962739	1,50840795376734	0,509296273700943	2,96174944066658	0,00305896602422531	0,00436504140535521
"comp5650_c0_seq2"	17511,4181369287	-0,903059723858749	0,306203591055232	-2,94921336731109	0,00318583942762295	0,00452068834981134
"comp4262_c0_seq1"	19797,4475729411	-0,490977891390582	0,170672734835147	-2,87672129860003	0,0040183032506445	0,00567027236479835
"comp25719_c0_seq1"	341,591204571808	-13,1334141954323	4,7116588886553	-2,78742890896768	0,00531281097528896	0,00745554689349942
"comp37424_c0_seq1"	330,100049933952	-13,084049413141	4,71166004268728	-2,77695107342221	0,00548714380943942	0,0076578820197671
"comp25717_c0_seq1"	273,981009573511	-12,815238950195	4,71166706926726	-2,71989484014795	0,00653026802687054	0,00906386928319736
"comp26972_c0_seq1"	260,478269982239	-12,7423310980319	4,71166921178387	-2,7044197131164	0,00684238025404836	0,00944545969852328
"comp3968_c0_seq1"	15498,5773804909	-0,558225573474997	0,208607004678088	-2,67596754162893	0,00745138611794058	0,0102305517511184
"comp3839_c0_seq1"	22694,9287145064	-0,44634363526079	0,167655441902262	-2,66226750647913	0,00776161676364822	0,0105991970858422
